date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:30	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:33%20GMT	https://media.giphy.com/media/3osxYoCkKu892JBLUc/giphy.gif	/home/william/websites/asd/media.giphy.com/media/3osxYoCkKu892JBLUc/giphy.47.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:31	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:33%20GMT	https://media.giphy.com/media/hTDNwZbCwOfrmUItSU/giphy.gif	/home/william/websites/asd/media.giphy.com/media/hTDNwZbCwOfrmUItSU/giphy.48.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:32	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:35%20GMT	https://media.giphy.com/media/xTiTnLDVc015Cxd0dO/giphy.gif	/home/william/websites/asd/media.giphy.com/media/xTiTnLDVc015Cxd0dO/giphy.49.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:33	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:35%20GMT	https://media.giphy.com/media/RE9ogsSVTvwvC/giphy.gif	/home/william/websites/asd/media.giphy.com/media/RE9ogsSVTvwvC/giphy.4a.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:34	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:37%20GMT	https://media.giphy.com/media/fdvGGmZFg0TNC/giphy.gif	/home/william/websites/asd/media.giphy.com/media/fdvGGmZFg0TNC/giphy.4b.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:35	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:37%20GMT	https://media.giphy.com/media/X1SzpsFR7rpe/giphy.gif	/home/william/websites/asd/media.giphy.com/media/X1SzpsFR7rpe/giphy.4c.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:36	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:39%20GMT	https://media.giphy.com/media/10gA8mG3uHqRq/giphy.gif	/home/william/websites/asd/media.giphy.com/media/10gA8mG3uHqRq/giphy.4d.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:37	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:39%20GMT	https://media.giphy.com/media/xUPGclaE8lP7ZvTRT2/giphy.gif	/home/william/websites/asd/media.giphy.com/media/xUPGclaE8lP7ZvTRT2/giphy.4e.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:38	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:41%20GMT	https://media.giphy.com/media/l41lX93wGg6wwl5Bu/giphy.gif	/home/william/websites/asd/media.giphy.com/media/l41lX93wGg6wwl5Bu/giphy.4f.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:39	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:41%20GMT	https://media.giphy.com/media/3osxYwmraxchZLYOPK/giphy.gif	/home/william/websites/asd/media.giphy.com/media/3osxYwmraxchZLYOPK/giphy.50.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:40	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:42%20GMT	https://media.giphy.com/media/l41lMU9vPdqjrA4QE/giphy.gif	/home/william/websites/asd/media.giphy.com/media/l41lMU9vPdqjrA4QE/giphy.51.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:41	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:43%20GMT	https://media.giphy.com/media/l2R00wfa8fttlpRPG/giphy.gif	/home/william/websites/asd/media.giphy.com/media/l2R00wfa8fttlpRPG/giphy.52.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:42	23/23	---M--	200	added ('OK')	text/plain	date:Wed,%2028%20Oct%202020%2014:28:44%20GMT	https://cdn.filestackcontent.com/robots.txt		(from https://shor.by/setdgv5)
10:28:44	436758/436758	URF---	200	added ('OK%20(cached)')	image/png		https://cdn.filestackcontent.com/compress=m:true/quality=v:80/cache=expiry:max/no_metadata/v018x3UxQxuEKi2zhib5	/home/william/websites/asd/cdn.filestackcontent.com/compress=m_true/quality=v_80/cache=expiry_max/no_metadata/Banner8.png	(from https://shor.by/setdgv5)
